Player,Age,?Games,?Games_Started,?Minutes_Played_Per_Game,?Field_Goals_Per_Game,?Field_Goal_Attempts_Per_Game,?Field_Goal_Percentage,?3-Point_Field_Goals_Per_Game,?3-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_3-Pt_FGAs.,?2-Point_Field_Goals_Per_Game,?2-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_2-Pt_FGAs.,?Effective_Field_Goal_Percentage,?Free_Throws_Per_Game,?Free_Throw_Attempts_Per_Game,?Free_Throw_Percentage,?Offensive_Rebounds_Per_Game,?Defensive_Rebounds_Per_Game,?Total_Rebounds_Per_Game,?Assists_Per_Game,?Steals_Per_Game,?Blocks_Per_Game,?Turnovers_Per_Game,?Personal_Fouls_Per_Game,?Points_Per_Game,?Minutes_Played,?Player_Efficiency_Rating,?True_Shooting_Percentage,3-Point_Attempt_Rate,?Free_Throw_Attempt_Rate,?Offensive_Rebound_Percentage,?Defensive_Rebound_Percentage,?Total_Rebound_Percentage,?Assist_Percentage,?Steal_Percentage,?Block_Percentage,?Turnover_Percentage,?Usage_Percentage,?Offensive_Win_Shares,?Defensive_Win_Shares,?Win_Shares,?Win_Shares_Per_48_Minutes,?Offensive_Box_Plus/Minus,?Defensive_Box_Plus/Minus,?Box_Plus/Minus,?Value_over_Replacement_Player,Total_salary
Raymond Felton\feltora01,33,82,2,16.6,2.7,6.7,0.406,1,2.8,0.352,1.7,3.9,0.444,0.479,0.4,0.5,0.818,0.3,1.6,1.9,2.5,0.6,0.2,0.9,1.1,6.9,1365,13,0.494,0.417,0.08,2,11,6.3,22.5,1.8,1.1,11.7,20.4,0.9,1.3,2.2,0.078,-1.1,-1.7,-2.8,-0.3,2393887
Reggie Bullock\bullore01,26,62,52,27.9,4.3,8.8,0.489,2,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.796,0.4,2,2.5,1.5,0.8,0.2,0.8,1.1,11.3,1732,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,0.117,1.3,-0.7,0.7,1.2,2500000
Reggie Jackson\jacksre01,27,45,45,26.7,5.5,12.8,0.426,1.2,3.8,0.308,4.3,9.1,0.475,0.471,2.5,3,0.836,0.6,2.1,2.8,5.3,0.6,0.1,2.2,1.9,14.6,1201,15.9,0.516,0.293,0.232,2.6,9,5.7,32.8,1.1,0.3,13.5,27.1,1.1,0.9,2,0.078,0.8,-2.3,-1.5,0.2,17043478
Richaun Holmes\holmeri01,24,48,2,15.5,2.8,5,0.56,0.1,0.6,0.129,2.7,4.4,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2,6.5,746,17.4,0.585,0.129,0.232,8.6,21.4,15.2,12.3,1.3,3.2,8.6,16.6,1.6,1.3,2.8,0.183,-0.2,1.9,1.7,0.7,1600520
Ricky Rubio\rubiori01,27,77,77,29.3,4.5,10.7,0.418,1.2,3.5,0.352,3.2,7.2,0.451,0.476,2.9,3.3,0.866,0.6,4,4.6,5.3,1.6,0.1,2.7,2.7,13.1,2254,15.4,0.537,0.33,0.307,2.2,15.3,8.8,28.4,2.7,0.4,18.1,22.9,1.5,3.8,5.3,0.112,0.1,1.6,1.7,2.1,14975000
Robert Covington\covinro01,27,80,80,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.497,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2,1.7,0.9,1.6,3,12.6,2532,12.9,0.563,0.658,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,1.6,4.5,6.1,0.116,0.4,2.1,2.5,2.9,10464092
Robin Lopez\lopezro01,29,64,64,26.4,5.3,10.1,0.53,0.1,0.2,0.286,5.3,9.9,0.536,0.533,1.1,1.4,0.756,2.1,2.4,4.5,1.9,0.2,0.8,1.7,1.7,11.8,1690,14.7,0.552,0.022,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-1.7,-0.3,-1.9,0,14357750
Rodney Hood\hoodro01,25,120,46,26.66666667,5.2,12.06666667,0.431666667,1.966666667,5.233333333,0.374,3.233333333,6.833333333,0.471333333,0.511333333,1.766666667,2.066666667,0.849666667,0.4,2.366666667,2.733333333,1.566666667,0.766666667,0.2,1.033333333,1.8,14.1,1077.333333,14.03333333,0.543333333,0.425,0.169666667,1.6,9.833333333,5.766666667,9.5,1.4,0.633333333,6.933333333,23.3,0.8,1,1.8,0.08,0.1,-2.2,-2.1,0,3472887
Rodney McGruder\mcgruro01,26,18,2,16.6,2,4.1,0.493,0.8,1.9,0.429,1.2,2.1,0.553,0.596,0.2,0.4,0.5,0.6,1.2,1.8,0.9,0.4,0.2,0.2,1.2,5.1,299,12,0.595,0.479,0.11,4.1,7.9,6,8.4,1.3,0.9,5,12.1,0.5,0.3,0.8,0.125,0.1,-0.7,-0.6,0.1,1544951
Ron Baker\bakerro01,24,29,1,13.3,0.7,2,0.339,0.4,1.1,0.333,0.3,0.9,0.346,0.432,0.7,0.9,0.769,0.2,0.9,1,1.6,0.9,0.2,0.6,1.1,2.4,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,0.1,0.4,0.5,0.059,-1.9,0.9,-1,0.1,4715315
Rondae Hollis-Jefferson\holliro01,23,68,59,28.2,5,10.6,0.472,0.2,0.8,0.241,4.8,9.9,0.491,0.481,3.7,4.6,0.788,1.5,5.3,6.8,2.5,1,0.7,1.8,2.1,13.9,1920,16.9,0.548,0.075,0.436,5.5,20,12.7,14.2,1.6,1.9,12.3,22.2,2.1,2,4.1,0.103,-1.5,1.1,-0.4,0.8,2470357
Royce O'Neale\onealro01,24,69,4,16.7,1.7,4.1,0.423,0.6,1.7,0.356,1.1,2.4,0.47,0.496,0.9,1.1,0.803,0.4,3.1,3.4,1.4,0.5,0.2,0.8,1.5,5,1150,10.8,0.54,0.415,0.268,2.5,20.6,11.7,12,1.6,1.2,14.8,14.6,0.5,1.8,2.4,0.099,-2.4,1.7,-0.6,0.4,1378242
Rudy Gay\gayru01,31,57,6,21.6,4.4,9.4,0.471,0.6,2.1,0.314,3.8,7.4,0.516,0.506,2,2.5,0.772,1.3,3.8,5.1,1.3,0.8,0.7,1.4,1.7,11.5,1231,18,0.545,0.22,0.27,6.8,19.5,13.1,9.8,1.9,2.6,11.5,24.6,1,2.1,3.1,0.122,-0.7,1,0.3,0.7,10087200
Rudy Gobert\goberru01,25,56,56,32.4,4.9,7.9,0.622,0,0,,4.9,7.9,0.622,0.622,3.6,5.3,0.682,2.9,7.8,10.7,1.4,0.8,2.3,1.9,2.7,13.5,1816,20.7,0.657,0,0.673,10.4,27,18.8,6.9,1.2,6,15.7,16.9,4.2,3.9,8.1,0.214,-0.3,4.6,4.3,2.9,23241573
Russell Westbrook\westbru01,29,80,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,8.3,17,0.485,0.477,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5,35654150
Ryan Anderson\anderry01,29,66,50,26.1,3.1,7.3,0.431,2,5.1,0.386,1.2,2.1,0.539,0.568,1.1,1.4,0.774,1.4,3.6,5,0.9,0.4,0.3,0.6,1.9,9.3,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,3.1,1.7,4.8,0.132,1,-0.8,0.2,1,20421546
Ryan Arcidiacono\arcidry01,23,24,0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0,1,1,1.5,0.5,0,0.5,0.8,2,304,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0,23,8.1,0.1,0.2,0.3,0.04,-3.3,-0.7,-4.1,-0.2,1349383
Salah Mejri\mejrisa01,31,61,1,12,1.4,2.2,0.642,0,0,0,1.4,2.2,0.657,0.642,0.6,1.1,0.576,1.4,2.6,4,0.6,0.4,1.1,0.6,2,3.5,729,17.8,0.644,0.022,0.482,12.5,25.4,18.7,7.2,1.5,8.2,19,12.8,1.3,1.3,2.7,0.175,-2.2,5.3,3.1,0.9,1567007
Sam Dekker\dekkesa01,23,73,1,12.1,1.8,3.5,0.494,0.1,0.8,0.167,1.6,2.7,0.593,0.514,0.5,0.8,0.661,0.6,1.8,2.4,0.5,0.3,0.1,0.5,1,4.2,883,11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,0.6,0.6,1.2,0.066,-2.1,-1,-3.1,-0.2,2760095
Scotty Hopson\hopsosc01,28,1,0,8,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,0,0,1,0,0,1,0,1,8,-4.6,0.266,0,2,0,0,0,15.8,0,0,34.7,16.3,0,0,0,-0.238,-14.7,-6,-20.7,0,85458
Semi Ojeleye\ojelese01,23,73,0,15.8,0.9,2.6,0.346,0.5,1.7,0.32,0.3,0.9,0.397,0.452,0.3,0.6,0.61,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7,1150,4.6,0.473,0.665,0.218,3.6,11.6,7.7,2.4,0.9,0.3,10.8,9,-0.2,1.3,1.2,0.048,-3.6,0.1,-3.5,-0.4,1378242
Serge Ibaka\ibakase01,28,76,76,27.5,5,10.3,0.483,1.4,3.9,0.36,3.6,6.4,0.559,0.552,1.2,1.6,0.797,1,5.3,6.3,0.8,0.4,1.3,1.2,2.8,12.6,2093,14.7,0.574,0.379,0.151,4.3,21,12.8,4.4,0.7,3.8,9.7,19.4,2.1,3,5.1,0.117,-0.8,0.6,-0.2,0.9,21666667
Shabazz Napier\napiesh01,26,74,10,20.7,3,7.2,0.42,1.1,2.9,0.376,1.9,4.2,0.45,0.497,1.6,1.9,0.841,0.4,1.9,2.3,2,1.1,0.2,1.2,1.1,8.7,1535,14.2,0.544,0.411,0.26,1.9,10.1,6,14.6,2.6,0.7,13.2,19.5,1.2,2,3.2,0.101,-0.2,0.3,0.2,0.8,1942422
Shaquille Harrison\harrish01,24,23,2,16.7,2.6,5.4,0.476,0.3,1.1,0.231,2.3,4.3,0.541,0.5,1.2,1.7,0.737,0.4,2.3,2.7,2.4,1.1,0.3,1,1.8,6.6,384,15.6,0.54,0.21,0.306,2.5,14.7,8.5,22.2,3.2,1.5,13.5,18,0.4,0.4,0.8,0.094,-0.7,0.9,0.2,0.2,1361265
Shaun Livingston\livinsh01,32,71,7,15.9,2.4,4.8,0.501,0,0.1,0,2.4,4.8,0.509,0.501,0.7,0.9,0.82,0.5,1.4,1.8,2,0.5,0.3,0.8,1.6,5.5,1129,11.6,0.533,0.015,0.178,3.4,9.2,6.5,16.8,1.5,1.5,13.6,16.6,0.9,0.9,1.8,0.077,-2.6,-0.9,-3.5,-0.4,8307692
Shelvin Mack\macksh01,27,69,3,19.8,2.6,6,0.43,0.7,2,0.345,1.9,4,0.473,0.488,1,1.4,0.711,0.3,2.1,2.4,3.9,0.8,0.1,1.3,1.3,6.9,1365,13.3,0.518,0.336,0.234,1.8,11.6,6.7,29.5,1.9,0.5,16.3,17.6,1,1,1.9,0.069,-1.2,-1.2,-2.4,-0.1,3029463
Sindarius Thornwell\thornsi01,23,73,17,15.8,1.4,3.2,0.429,0.3,0.8,0.377,1.1,2.4,0.448,0.479,0.8,1.2,0.67,0.5,1.5,1.9,0.9,0.7,0.3,0.7,1.7,3.9,1156,8.2,0.519,0.262,0.378,3.2,10,6.7,7.8,2,1.8,16.3,12.1,0.1,0.9,1,0.041,-2.6,1,-1.6,0.1,1378242
Skal Labissi?re\labissk01,21,60,28,20.7,3.4,7.6,0.448,0.3,0.9,0.353,3.1,6.8,0.459,0.467,1.6,2,0.805,1.7,3.2,4.8,1.2,0.4,0.8,1.2,2.2,8.7,1240,14.3,0.513,0.111,0.258,8.7,18.1,13.2,9.1,1,3.7,12.5,21.1,0.4,1,1.4,0.054,-2.7,0.1,-2.6,-0.2,1544951
Solomon Hill\hillso01,26,12,1,15.6,0.9,3.4,0.268,0.3,1.8,0.19,0.6,1.7,0.35,0.317,0.3,0.5,0.5,0.8,2.3,3,1.8,0.6,0.1,0.8,1.8,2.4,187,4.8,0.332,0.512,0.146,5.4,15.1,10.4,14.4,1.8,0.4,17.1,12.2,-0.2,0.2,-0.1,-0.014,-4.4,0.6,-3.8,-0.1,12252928
Spencer Dinwiddie\dinwisp01,24,80,58,28.8,4.1,10.5,0.387,1.8,5.4,0.326,2.3,5.1,0.452,0.471,2.7,3.4,0.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6,2306,15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,4.3,1.4,5.7,0.118,2.1,-1.8,0.2,1.3,1656092
Stanley Johnson\johnsst04,21,69,50,27.4,3,8.1,0.375,1,3.4,0.286,2.1,4.7,0.439,0.435,1.6,2.1,0.772,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,8.7,1894,9,0.48,0.418,0.259,1.9,13,7.3,8.5,2.5,0.7,11,16.4,-0.6,2.4,1.8,0.046,-2.6,1.1,-1.5,0.2,3940402
Stephen Curry\curryst01,29,51,51,32,8.4,16.9,0.495,4.2,9.8,0.423,4.2,7.1,0.595,0.618,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4,1631,28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,7.2,1.9,9.1,0.267,9.9,-1.3,8.6,4.4,37457154
Sterling Brown\brownst02,22,54,4,14.4,1.5,3.8,0.4,0.6,1.7,0.352,0.9,2.1,0.439,0.478,0.4,0.4,0.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4,776,9.1,0.503,0.444,0.117,4.1,17.5,10.8,4.5,2,1.4,10.4,14,0,0.7,0.7,0.043,-3.1,-1,-4,-0.4,1378242
Steven Adams\adamsst01,24,76,76,32.7,5.9,9.4,0.629,0,0,0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4,9,1.2,1.2,1,1.7,2.8,13.9,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,2.2,1.1,3.3,3.3,24157304
T.J. Leaf\leaftj01,20,53,0,8.7,1.2,2.6,0.471,0.3,0.8,0.429,0.9,1.8,0.489,0.537,0.2,0.3,0.625,0.5,1,1.5,0.2,0.1,0.1,0.2,0.8,2.9,459,10.7,0.545,0.309,0.118,7.2,13,10.1,2.8,0.5,0.8,6.5,14.9,0.5,0.3,0.8,0.082,-1.9,-2.9,-4.8,-0.3,2407560
T.J. McConnell\mccontj01,25,76,1,22.4,2.8,5.5,0.499,0.4,0.8,0.435,2.4,4.7,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3,4,1.2,0.2,1.5,1.6,6.3,1706,12.5,0.545,0.147,0.093,2.4,11.5,7.1,24.5,2.6,0.6,20.4,13.8,1.3,2.5,3.8,0.108,-1.8,1.1,-0.7,0.5,1600520
T.J. Warren\warretj01,24,65,65,33,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15,0.523,0.507,3,3.9,0.757,1.9,3.2,5.1,1.3,1,0.6,1.3,2.3,19.6,2142,17.6,0.541,0.085,0.24,6.1,10.5,8.3,7.2,1.5,1.5,6.7,24.9,2.6,0.8,3.4,0.077,-0.1,-1.7,-1.9,0.1,11750000
Taj Gibson\gibsota01,32,82,82,33.2,5.2,9,0.577,0.1,0.4,0.2,5.1,8.6,0.595,0.581,1.7,2.3,0.768,2.4,4.8,7.1,1.2,0.8,0.7,1.1,2.7,12.2,2726,15.4,0.61,0.047,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,5.4,1.7,7.2,0.126,0.9,0.2,1.1,2.1,14000000
Taurean Waller-Prince\princta02,23,82,82,30,5.1,11.9,0.426,2.1,5.6,0.385,2.9,6.3,0.461,0.516,1.9,2.2,0.844,0.6,4.1,4.7,2.6,1,0.5,2.3,2,14.1,2464,12.8,0.549,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0,2,2,0.038,-0.7,0,-0.7,0.8,2526840
Terrance Ferguson\fergute01,19,61,12,12.5,1.1,2.8,0.414,0.7,2,0.333,0.5,0.8,0.612,0.533,0.1,0.2,0.9,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1,763,7.4,0.545,0.71,0.059,2.7,4.2,3.4,3.4,1.6,1.2,6,10.4,0.7,0.5,1.2,0.077,-1.2,-1.3,-2.5,-0.1,2118840
Terrence Ross\rosste01,26,24,20,25,3.2,8,0.398,1.3,3.9,0.323,1.9,4.1,0.469,0.476,1.1,1.5,0.75,0.4,2.6,3,1.6,1.1,0.5,1.2,1.9,8.7,600,9.9,0.505,0.487,0.188,1.8,11.6,6.7,9.3,2.2,1.5,12.3,17.3,-0.2,0.5,0.3,0.025,-2.2,0.1,-2.1,0,10500000
Terry Rozier\roziete01,23,80,16,25.9,4,10,0.395,1.9,5,0.381,2,5,0.41,0.491,1.4,1.9,0.772,0.8,3.9,4.7,2.9,1,0.2,1,1.5,11.3,2068,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.8,1,1.8,2,3050390
Thabo Sefolosha\sefolth01,33,38,6,21.2,3.1,6.3,0.492,0.8,2.2,0.381,2.3,4.1,0.551,0.558,1.2,1.4,0.815,0.8,3.5,4.2,0.9,1.4,0.3,0.8,1.6,8.2,806,15.8,0.591,0.35,0.225,4.1,18.4,11.3,6.3,3.2,1.3,10.2,16.4,1,1.6,2.6,0.156,-0.3,2.3,1.9,0.8,5250000
Thaddeus Young\youngth01,29,81,81,32.2,5.2,10.7,0.487,0.7,2.2,0.32,4.5,8.4,0.531,0.521,0.7,1.1,0.598,2.3,4,6.3,1.9,1.7,0.4,1.3,2.2,11.8,2607,14.8,0.528,0.209,0.106,8,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,0.101,0.1,1.4,1.5,2.3,13764045
Thomas Bryant\bryanth01,20,15,0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.5,0.7,0.636,0.405,0.3,0.6,0.556,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,1.5,72,9.9,0.441,0.476,0.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,0,0.1,0.1,0.05,-3.8,-0.4,-4.2,0,1378242
Thon Maker\makerth01,20,74,12,16.7,1.8,4.3,0.411,0.4,1.4,0.298,1.3,2.9,0.467,0.46,0.9,1.3,0.699,1,2,3,0.6,0.5,0.7,0.6,2.2,4.8,1238,10.2,0.499,0.329,0.294,7.1,14.2,10.6,5.2,1.5,3.7,11,14.6,0.3,1.1,1.5,0.056,-2.7,0,-2.7,-0.2,2799720
Tim Frazier\fraziti01,27,59,11,14.2,1.2,2.9,0.395,0.3,0.9,0.304,0.9,2,0.44,0.445,0.4,0.5,0.767,0.3,1.6,1.9,3.3,0.8,0.1,1,1.6,3,838,11.3,0.475,0.326,0.174,2.4,13.1,7.8,31.1,2.8,0.7,23.5,12.8,0.4,1,1.4,0.08,-2.4,0.3,-2.1,0,1826513
Tim Hardaway\hardati02,25,57,54,33.1,6.3,15,0.421,2.3,7.2,0.317,4,7.8,0.516,0.496,2.6,3.1,0.816,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,17.5,1885,14.4,0.533,0.479,0.209,1.9,11.3,6.6,12.7,1.6,0.5,9,23.8,1.6,1.1,2.6,0.067,1.7,-1.8,-0.1,0.9,17325000
Timofey Mozgov\mozgoti01,31,31,13,11.6,1.7,3,0.559,0.1,0.6,0.222,1.5,2.4,0.64,0.581,0.7,1,0.767,1,2.1,3.2,0.4,0.2,0.4,1.1,1.3,4.2,359,12.3,0.617,0.194,0.323,9.4,19.7,14.5,4.8,0.7,2.7,23.7,16.8,0.1,0.3,0.4,0.055,-3.8,-0.3,-4.1,-0.2,16000000
Timoth? Luwawu-Cabarrot\luwawti01,22,52,7,15.5,1.9,5.1,0.375,1,3,0.335,0.9,2.1,0.431,0.474,0.9,1.1,0.793,0.3,1.1,1.4,1,0.2,0.1,0.7,1.9,5.8,807,7,0.511,0.592,0.217,1.9,7.5,4.8,9.3,0.7,0.5,11.5,17.5,0.1,0.7,0.8,0.046,-2.3,-2.4,-4.7,-0.5,1544951
Tobias Harris\harrito02,25,160,160,33.5,7.1,15.36666667,0.461333333,2.3,5.566666667,0.411333333,4.8,9.8,0.489,0.535666667,2.2,2.666666667,0.825,0.733333333,4.766666667,5.533333333,2.5,0.933333333,0.433333333,1.366666667,2.1,18.66666667,1778.666667,17.16666667,0.564666667,0.361,0.175,2.366666667,15.83333333,9.066666667,12,1.333333333,1.166666667,7.533333333,23.33333333,2.8,1.666666667,4.466666667,0.119,1.533333333,-0.733333333,0.8,1.233333333,14800000
Tom?? Satoransk?\satorto01,26,73,30,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1,1.3,0.781,1,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2,1643,15.4,0.615,0.263,0.25,5,11.1,8,24.8,1.6,0.8,16.3,13.7,3.7,1.3,5,0.145,1.3,-0.2,1.1,1.3,3129187
Tony Bradley\bradlto01,20,9,0,3.2,0.3,1.2,0.273,0,0.1,0,0.3,1.1,0.3,0.273,0.2,0.2,1,0.4,0.8,1.2,0.1,0,0,0,0.1,0.9,29,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5,0,0,0,18.4,0,0,0,0.033,-6.6,-3,-9.6,-0.1,1679520
Tony Parker\parketo01,35,55,21,19.5,3.2,7.1,0.459,0.2,0.7,0.27,3.1,6.4,0.479,0.472,1,1.4,0.705,0.1,1.6,1.7,3.5,0.5,0,1.2,0.9,7.7,1071,12.7,0.498,0.095,0.201,0.7,9.2,4.9,28.2,1.3,0.1,13.9,20.5,0.4,1.1,1.4,0.065,-2.4,-1.7,-4.1,-0.6,5000000
Tony Snell\snellto01,26,75,59,27.4,2.5,5.7,0.435,1.4,3.6,0.403,1,2.1,0.49,0.562,0.5,0.6,0.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-0.5,-1.3,-1.8,0.1,10607143
Torrey Craig\craigto01,27,39,5,16.1,1.6,3.5,0.453,0.4,1.5,0.293,1.2,2,0.57,0.515,0.6,0.9,0.629,1,2.2,3.3,0.6,0.3,0.4,0.5,1.6,4.2,629,9.8,0.535,0.423,0.255,7.2,15.5,11.4,5.4,0.9,2,11.6,11.9,0.5,0.4,0.9,0.069,-1.7,-0.8,-2.5,-0.1,2000000
Treveon Graham\grahatr01,24,63,2,16.7,1.5,3.5,0.434,0.6,1.5,0.412,0.9,2,0.452,0.525,0.7,0.9,0.695,0.7,1.3,1.9,0.9,0.5,0,0.4,1.7,4.3,1050,9,0.553,0.439,0.267,4.3,8.3,6.2,7.8,1.5,0.2,9.9,11.3,1.1,0.7,1.8,0.08,-0.6,-0.3,-0.9,0.3,1512601
Trevor Ariza\arizatr01,32,67,67,33.9,4,9.7,0.412,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.854,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2,11.7,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,2.6,2.8,5.3,0.113,0.8,0.7,1.5,2,15000000
Trey Burke\burketr01,25,36,9,21.8,5.4,10.7,0.503,1.1,2.9,0.362,4.3,7.8,0.556,0.552,1,1.6,0.649,0.4,1.6,2,4.7,0.7,0.1,1.2,1.2,12.8,785,21,0.563,0.273,0.148,1.8,8.2,5,36.4,1.5,0.4,9.5,25.1,2,0.3,2.4,0.145,4.2,-3.2,1,0.6,1795015
Trey Lyles\lylestr01,22,73,2,19.1,3.7,7.5,0.491,1.1,3,0.381,2.6,4.5,0.563,0.566,1.4,2,0.706,0.8,4,4.8,1.2,0.4,0.5,0.8,1.5,9.9,1391,17.9,0.591,0.396,0.26,4.5,23.5,14,10.1,1.1,2,9.1,21.1,2.7,1.2,3.9,0.135,0.6,-1.4,-0.8,0.4,3364249
Tristan Thompson\thomptr01,26,53,22,20.2,2.5,4.4,0.562,0,0,,2.5,4.4,0.562,0.562,0.8,1.5,0.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8,1072,13.6,0.569,0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,1.8,0.7,2.5,0.113,-1.6,-0.9,-2.5,-0.1,17469565
Troy Daniels\danietr01,26,79,15,20.5,2.9,7.3,0.403,2.3,5.8,0.4,0.6,1.5,0.419,0.563,0.7,0.8,0.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,1.4,0,1.4,0.042,0.7,-3.6,-2.9,-0.4,3258539
Troy Williams\willitr02,23,42,2,12,1.933333333,4.466666667,0.393333333,0.366666667,1.666666667,0.207333333,1.533333333,2.766666667,0.543333333,0.428333333,0.8,1.266666667,0.568,0.833333333,1.666666667,2.5,0.666666667,0.8,0.133333333,0.766666667,1.333333333,5.033333333,204.6666667,9.633333333,0.452666667,0.411666667,0.292666667,7.6,16.33333333,12,8,3.1,0.766666667,12.06666667,23.03333333,0.133333333,0.233333333,0.333333333,-0.023333333,-3.7,-0.733333333,-4.433333333,0.1,156924
Tyler Dorsey\dorsety01,21,56,5,17.4,2.6,6.8,0.377,1.3,3.6,0.362,1.3,3.3,0.393,0.471,0.8,1.1,0.714,0.3,2,2.3,1.4,0.3,0.1,0.7,1.1,7.2,974,10,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20,0,0.4,0.4,0.02,-1.8,-2.4,-4.2,-0.6,1378242
Tyler Johnson\johnsty01,25,72,39,28.5,4.3,9.9,0.435,1.7,4.5,0.367,2.6,5.4,0.491,0.518,1.5,1.8,0.822,0.5,3,3.4,2.3,0.8,0.5,1.1,2.1,11.7,2052,13,0.549,0.456,0.181,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,1.9,2.3,4.2,0.097,-0.1,-0.1,-0.2,0.9,19245370
Tyler Lydon\lydonty01,21,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.014,-5.7,-0.8,-6.5,0,1874640
Tyler Zeller\zellety01,28,132,68,16.8,2.8,5,0.565333333,0.133333333,0.366666667,0.247333333,2.666666667,4.566666667,0.582333333,0.577666667,0.866666667,1.133333333,0.761333333,1.733333333,2.933333333,4.6,0.733333333,0.233333333,0.533333333,0.666666667,1.933333333,6.566666667,739.3333333,16.13333333,0.602333333,0.072333333,0.226666667,11.33333333,19.26666667,15.3,6.733333333,0.733333333,2.533333333,11,16.06666667,1.366666667,0.6,1.933333333,0.131333333,-0.9,-0.5,-1.4,0.066666667,171159
Tyreke Evans\evansty01,28,52,32,30.9,7,15.6,0.452,2.2,5.5,0.399,4.8,10.1,0.482,0.523,3.2,4,0.785,0.8,4.3,5.1,5.2,1.1,0.3,2.3,1.8,19.4,1607,21.1,0.561,0.354,0.258,3.1,16.3,9.5,31.2,1.8,1,11.5,28.4,3.1,1.2,4.2,0.126,4.4,-0.8,3.6,2.3,12400000
